Time,URL,Created By,Image URL,CopyMint Detected
01:24:49,https://opensea.io/collection/cryptopunk-6,Braklus,https://lh3.googleusercontent.com/Fm4Df-gZkCZwG1oI5r97mjPSYM8GApX5tER1r1l7M1Z51qKW38ibG_gvtpOLu9z1fHu6iYBerZBOj1XdVxj7wNYS0L4wjWd87crfLA,No Match
01:24:51,https://opensea.io/collection/cryptopunk-7,CryptoPunks-,https://lh3.googleusercontent.com/k78mU3QBfrdNQWeUnNyA58QqvauTyuP_EhBScyBn57mWeejziJYn9QYG1NSyZ_75lb-auW0EwagEtQ2irbrcSP48,No Match
01:25:00,https://opensea.io/collection/cryptopunk-12,,https://lh3.googleusercontent.com/BOHa6vTSwYc8IQZt3Nui9uuTZMQ1EjI--MbvmKJ4j7rbcAJQS15V0Pwm1NuGlfnFjvjyvXQWnLz01UgxsnUZROo8Z8AOfveJyAteQg,No Match
Time,URL,Created By,Image URL,CopyMint Detected
Time,URL,Created By,Image URL,CopyMint Detected
Time,URL,Created By,Image URL,CopyMint Detected
Time,URL,Created By,Image URL,CopyMint Detected
Time,URL,Created By,Image URL,CopyMint Detected
Time,URL,Created By,Image URL,CopyMint Detected
Time,URL,Created By,Image URL,CopyMint Detected
Time,URL,Created By,Image URL,CopyMint Detected
Time,URL,Created By,Image URL,CopyMint Detected
01:46:54,https://opensea.io/collection/cryptopunk-7,CryptoPunks-,https://lh3.googleusercontent.com/k78mU3QBfrdNQWeUnNyA58QqvauTyuP_EhBScyBn57mWeejziJYn9QYG1NSyZ_75lb-auW0EwagEtQ2irbrcSP48,CopyMint: Punk#2890
